Marca temporal,"¿De estos grupos de colores, cuales son los colores primarios?",¿Cuál de estos no es continente?,¿Cuál de estos no es un sentido humano?,¿Cuál es el océano mas grande del mundo?,¿Quién es el autor de ‘Don Quijote de la Mancha’?,¿Cuándo se celebra el natalicio de Ramon Matías Mella (Padre de la patria dominicano),¿A cuánto equivale el número Pi aproximadamente?,¿En qué año llegaron los colonizadores españoles a América?,¿Cuál es el país mas grande del mundo?,¿Qué país tiene mas habitantes?,¿Cómo se llama el fundador de Facebook?,¿Cómo se llama el fundador de Microsoft?,¿Cuál es el resultado de la operación 2 * 1 + 3 * 4 ?,¿Cuál es el país más grande(a nivel de extensión territorial) de América?,¿Cómo surge los Estados Unidos?,¿Cuál de estos países tiene mas inmigrantes(personas que nacieron o proceden de otro lugar)? ,¿Quién era el general de los Nazis en la Segunda Guerra Mundial?,¿Cuándo es el natalicio de juan pablo duarte(Padre de la patria dominicano),¿Cuál es la capital de México?,¿Cuál es el resultado de dividir 100 entre 50?
12/3/2021 14:47:58,"El gris, blanco y negro",América,El gusto,El océano arábico,Gabriel García Márquez,25 de febrero,4.1416,1501,China,Canadá,Bill Gates,Bill Gates,24,Mexico,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Mexico,Benito Mussolini,26 de enero,Ciudad de Mexico,2
12/3/2021 14:55:34,"El amarillo, azul y rojo",América,La suerte,El océano pacifico,William Shakespeare,25 de febrero,5.1416,1492,Canadá,Canadá,Bill Gates,Steve Jobs,26,Estados unidos,Tras la colonización e invasión española al territorio que hoy es estados unidos,Mexico,Benito Mussolini,26 de febrero,Guadalajara,2
12/3/2021 17:53:53,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Steve Jobs,Bill Gates,14,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:02:06,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano atlántico,Miguel de cervantes,27 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:04:27,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Canada,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Heinrich Himmler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:06:53,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:24:56,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de febrero,Ciudad de Mexico,2
12/3/2021 18:27:41,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1492,China,China,Mark Zuckerberg,Bill Gates,14,Estados unidos,Tras la colonización e invasión de los franceses a mano armada del territorio que hoy comprende usa.,Argentina,Adolf Hitler,26 de enero,SInaloa,2
12/3/2021 18:29:19,"El amarillo, azul y rojo",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,26 de enero,3.1416,1492,Rusia,China,Mark Zuckerberg,Bill Gates,24,Brazil,Tras la colonización británica de las trece colonias en la costa atlántica del subcontinente norteamericano *,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
12/3/2021 18:30:08,"El gris, blanco y negro",Mongolitis,La suerte,El océano pacifico,Miguel de cervantes,25 de febrero,3.1416,1501,China,China,Mark Zuckerberg,Steve Jobs,14,Mexico,Tras la colonización e invasión española al territorio que hoy es estados unidos,Estados Unidos,Adolf Hitler,26 de enero,Ciudad de Mexico,2
