"Marca temporal","Que piensas acerca de las cantidad de tarea que dejan los profesores ahora en las clases virtuales?","La plataforma usadas en el ambito estudiantil son comodas o usted ofrece una mejora?","¿Crees que las clases virtuales son efectivas?","¿Crees que las clases completamente virtuales deben prevalecer?","¿Los profesores estan bien preparado para dar clases virtuales?","Crees que los institutos y universidades deberian permiter ambas clases(virtual/presencial)?","Crees que en este año las clases seran completamente presencial?","Crees que la universidades y escuelas estan listo para dar las clases presenciales como antes?","Te parece efectiva la encuesta?","¿Qué tan contento está con las aplicaciones/plataformas utilizadas para el aprendizaje a distancia?","¿Siente que la comunicación es fluida entre estudiantes y profesores?","¿Qué opinas en general sobre la educación a distancia?","¿Cuánto tiempo dedicas cada día en promedio a la educación a distancia?","¿Qué tan efectivo ha sido el aprendizaje a distancia para ti?","¿Disfrutas aprendiendo a distancia?","¿Qué tan pacífico es el ambiente en casa mientras se aprende?","Evalúe su experiencia de aprendizaje a distancia hasta ahora?","¿Qué tan contento está con las aplicaciones/plataformas utilizadas para el aprendizaje a distancia?","¿Cuándo cree que se sentirá cómodo con el regreso a las clases presenciales ?","¿Confía en que su hijo o usted como estudiante tendrá el progreso académico adecuado a través de la educación a distancia?","Dejanos tu opinion acerca del tema!"
"2021/03/23 11:08:48 p. m. GMT-4","Esta bien","Efectiva.","Sí, claro es casi lo mismo","Mas que de acuerdo","Si, pero no todos","Por supuesto","Al parecer no","No, en lo absoluto","De utilidad","Comodo/a y entendible","A veces si y a veces no","Bien","3-5 horas","Moderadamente eficaz","Sí, pero me gustaría cambiar algunas cosas","Comodo","Bien","Igual","Para el siguiente cuatrimestre, semestre or trimestre","Mas o menos",""
"2021/03/23 11:10:19 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Normal","No, presencial es mas preciso","No, prefiero semi-presencial","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Por supuesto","Al parecer no","Si, pero semi-presencial","De utilidad","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Promedio","1-3 horas","Moderadamente eficaz","No, hay bastantes desafíos","Comodo","Aceptable","Un poco triste ya que no he aprendido igual","Para el siguiente cuatrimestre, semestre or trimestre","A ciegas",""
"2021/03/23 11:12:28 p. m. GMT-4","Esta bien","Efectiva.","Sí, claro es casi lo mismo","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","Eso depende en la universidad que estas cursando","Por supuesto","Al parecer no","Si, pero semi-presencial","De utilidad","Comodo/a y entendible","A veces si y a veces no","Promedio","3-5 horas","Moderadamente eficaz","Sí, pero me gustaría cambiar algunas cosas","Comodo","Aceptable","Alegre","Para el siguiente cuatrimestre, semestre or trimestre","Mas o menos",""
"2021/03/23 11:12:36 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Efectiva.","Por supuesto, incluso quiero continuar asi","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","Si, pero no todos","Por supuesto","Al parecer no","No, en lo absoluto","Exelente","Genial y facil","Bueno, eso depende hay profesores que parecen robots","Exelente","5-7 horas","Extremadamente eficaz","Sí, absolutamente.","Muy pacífico","Genial","Super contento","Para mediado del año que viene","Mas que seguro",""
"2021/03/23 11:18:56 p. m. GMT-4","Son muy largas","Es conforme.","No, presencial es mas preciso","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","Si, pero no todos","Por supuesto","Creo que si","No, en lo absoluto","Efectiva","Comodo/a y entendible","A veces si y a veces no","Promedio","3-5 horas","Ligeramente efectivo","Sí, pero me gustaría cambiar algunas cosas","Casi imposible de tomar clases en algunas horas","Aceptable","Feliz","A final de este año","Mas que seguro","Goood"
"2021/03/23 11:25:17 p. m. GMT-4","Los profesores no son conciente asi uno labora o algo relacionado","Normal","No, presencial es mas preciso","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Por supuesto","Al parecer no","Si, pero semi-presencial","Efectiva","Comodo/a y entendible","A veces si y a veces no","Promedio","1-3 horas","Ligeramente efectivo","No, hay bastantes desafíos","Casi imposible de tomar clases en algunas horas","Aceptable","Alegre","A final de este año","Mas o menos",""
"2021/03/23 11:27:25 p. m. GMT-4","Son muy largas","Efectiva.","Sí, claro es casi lo mismo","Mas que de acuerdo","Eso depende en la universidad que estas cursando","Por supuesto","Creo que si","No, en lo absoluto","Exelente","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Promedio","5-7 horas","Moderadamente eficaz","Sí, pero me gustaría cambiar algunas cosas","Comodo","Aceptable","Alegre","Para el siguiente cuatrimestre, semestre or trimestre","Mas o menos",""
"2021/03/23 11:29:38 p. m. GMT-4","Son muy largas","Normal","No, presencial es mas preciso","Seria bien que permanezcan las dos opciones virtual y semi-presencial.","No del todo deberian mejorar algunos mejoran algunos detalles en las clases","Por supuesto","Al parecer no","Si, pero semi-presencial","Exelente","Comodo/a y entendible","A veces si y a veces no","Bien","1-3 horas","Ligeramente efectivo","No, en absoluto","Comodo","Aceptable","Un poco triste ya que no he aprendido igual","A final de este año","Mas o menos",""
"2021/03/23 11:32:05 p. m. GMT-4","Son muy largas","Efectiva.","Sí, claro es casi lo mismo","No, prefiero semi-presencial","Si, pero no todos","Por supuesto","Al parecer no","No, en lo absoluto","Exelente","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Promedio","3-5 horas","Moderadamente eficaz","Sí, pero me gustaría cambiar algunas cosas","Comodo","Aceptable","Igual","Para el siguiente cuatrimestre, semestre or trimestre","Mas o menos",""
"2021/03/23 11:36:14 p. m. GMT-4","Esta bien","Normal","Sí, claro es casi lo mismo","No, prefiero semi-presencial","Si, pero no todos","Por supuesto","Al parecer no","Si, pero semi-presencial","Efectiva","Comodo/a y entendible","Bueno, eso depende hay profesores que parecen robots","Promedio","3-5 horas","Moderadamente eficaz","Sí, pero me gustaría cambiar algunas cosas","Comodo","Bien","Igual","A final de este año","A ciegas",""
